"degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d","Species"
7,0.269230769230769,3.03179595360631,0.290256564800901,0.0735294117647059,0.965454545454545,0.560805912827234,0.76,3.03179595360631,1.25,0.0411545716484384,0.0151041666666667,0.016621659372381,0.0193992892896146,2.42674224544866,1.41226412020273,4.10523964580453,0.390346706417538,0.437538884319919,0.354129628155142,"Alchornea latifolia "
2,0.0769230769230769,0.0251550113805824,-0.487422494309709,0.455882352941176,0.98,0.733333333333333,0.96,0.0251550113805824,1.44117647058824,0.00299561531157702,0,0.0148058478443058,0.00436170271112966,2.62230292149728,0.636514168294813,1.88988157484231,0.386722866174921,0.201424702842463,0.138215205487125,"Andira inermis "
3,0.115384615384615,0.204153974703398,-0.265282008432201,0.264705882352941,0.995294117647059,0.893497593806779,0.92,0.204153974703398,1.23529411764706,0.0241569855143577,0,0.016761337182233,0.0149279185669568,1.00208740316771,0.409458618695089,1.50600224291366,0.196938605734568,0.160510615213695,0.467862710433198,"Anthurium scandens "
1,0.0384615384615385,0.00364963503649635,-0.996350364963504,0.735294117647059,1,1,1,0.00364963503649635,1.52941176470588,0,0,0.0139677809851942,0.00163280703121814,134217776.500017,0,1,0.288724973656481,0.106580595061503,0,"Ardisia obovata "
2,0.0769230769230769,0.0158547289883695,-0.492072635505815,0.529411764705882,0.96,0.692820323027551,0.96,0.0158547289883695,1.45588235294118,0.00233257937915372,0,0.0146661700344539,0.00309933842371644,268435505.000009,0.693147180559945,2,0.304531085353003,0.213161190123005,0.0992107729565831,"Buchenavia capitata "
1,0.0384615384615385,0.00510204081632653,-0.994897959183674,0.75,1,1,1,0.00510204081632653,1.52941176470588,0,0,0.0139677809851942,0.00163930713155671,134217776.500017,0,1,0.206533192834563,0.106580595061503,0.0596839125720804,"Bursera simaruba "
4,0.153846153846154,0.11133813327799,-0.222165466680502,0.220588235294118,0.946666666666667,0.527605294646268,0.88,0.11133813327799,1.20588235294118,0.0306459131159932,0,0.0170406928019369,0.00829957354452063,3.87836641088345,1.27703425946614,3.58598882705695,0.422700587084149,0.38219682307163,0.191357992217103,"Byrsonima coriacea "
7,0.269230769230769,1.10398385921865,0.0148548370312353,0.102941176470588,0.88,0.35,0.76,1.10398385921865,1.14705882352941,0.0441751895428682,0,0.0175994040413446,0.00829320970168334,26.7816548142014,1.90615474653985,6.72717132202971,0.572839831401475,0.716985922582602,0.156515863551069,"Casearia arborea "
1,0.0384615384615385,0.333333333333333,-0.666666666666667,0.764705882352941,1,1,1,0.333333333333333,2.07352941176471,0,0,0.00945153179998138,0.00161308814564425,134217776.500017,0,1,0.00316122233930453,0.106580595061503,0.804278066018514,"Casearia sylvestris "
17,0.653846153846154,6.19290422246826,0.305464954262839,0,0.94551724137931,0.440829987456753,0.36,6.19290422246826,1.01470588235294,0.181227896723607,0.308541666666667,0.0188565043300121,0.0255941510374943,5.11304798569126,2.00669837295289,7.43871689001864,0.716759093321437,0.792822872632237,0.137438353688334,"Cecropia schreberiana "
1,0.0384615384615385,0.0256410256410256,-0.974358974358974,0.779411764705882,1,1,1,0.0256410256410256,1.76470588235294,0,0,0.0117329360275631,0.0016408251946333,134217776.500017,0,1,0.0410958904109589,0.106580595061503,0.347322637806841,"Chrysophyllum argenteum "
