"degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d","Species"
7,0.101449275362319,0.41250809958192,-0.08392741434544,0.36,0.989495798319328,0.911764705882353,0.60190160260269,0.0839334719801739,1.12,0.0504288164665523,0,0.0431985294117647,0.0320028583094074,3.32209935042744,1.40755466121906,4.08595164175553,0.182235736246773,0.392167193537057,0.231880208861038,"Coereba.flaveola."
10,0.144927536231884,4.0767572949965,0.30767572949965,0.28,0.96524064171123,0.867647058823529,0.404875116878356,0.478212297923319,1.28,0.0227987421383648,0,0.0395220588235294,0.0335867806259733,4.50205912405308,1.96369952090357,7.12563981631123,0.317807534696342,0.271808162219121,0.572272183332002,"Columba.squamosa."
1,0.0144927536231884,0.0072992700729927,-0.992700729927007,0.92,1,1,1,0.0072992700729927,1.36,0,0,0.0376838235294118,0.00245967710240265,134217776.500017,0,1,0.0446005611971646,0.14436248682824,0.00293709268687362,"Dendroica.caerulescens."
2,0.0289855072463768,0.0300945315304535,-0.484952734234773,0.6,0.995098039215686,0.985294117647059,0.787073880977921,0.0184725379921024,1.32,0.00393081761006289,0,0.0386029411764706,0.00894324797265621,1.59180573094355,0.562335144618808,1.75476535060332,0.0782635194062476,0.272918861959958,0.145604118198373,"Dendroica.tigrina."
11,0.159420289855072,5.27527019880082,0.388660927163711,0.24,0.99144385026738,0.852941176470588,0.65837620998325,0.693401106987001,1.24,0.0185963407661521,0,0.0404411764705882,0.0527461877957245,3.33400186948742,1.27729931006579,3.58693942151814,0.159979511179942,0.185167690127539,0.769849876835807,"Euphonia.musica."
5,0.072463768115942,0.446359940872136,-0.110728011825573,0.4,0.941176470588235,0.941176470588235,0.433860915637312,0.0892719881744272,1.48,0.00536497045931008,0,0.0349264705882353,0.0087541605092898,2147483650.5,1.6094379124341,5,0.223002805985823,0.103266596417281,0.411803557632249,"Icterus.dominicensis."
33,0.478260869565217,13.118368939281,0.367223301190334,0.04,0.977272727272727,0.529411764705882,0.421283355160778,0.430517247677364,1,0.172441395082905,0.519056261343013,0.0459558823529412,0.061882811442215,11.3633156335265,2.37896140310192,10.7936867508511,0.48140448647436,0.557084793875401,0.347938984935336,"Loxigilla.portoricensis."
17,0.246376811594203,6.78250472880817,0.340147336988716,0.16,0.970588235294118,0.764705882352941,0.380444961486243,0.271665230023952,1.12,0.0504288164665523,0,0.0431985294117647,0.0322639802991067,11.4778188250888,2.32835993957845,10.2610989031607,0.457650769580575,0.385669125395153,0.365851641522768,"Margarops.fuscatus."
3,0.0434782608695652,0.109562056603604,-0.296812647798799,0.44,0.985294117647059,0.970588235294118,0.630490588631536,0.0429368451117689,1.12,0.0504288164665523,0,0.0431985294117647,0.0154758992527008,1.74346319522402,0.974314752869349,2.6493511285621,0.118162547142211,0.312565858798736,0.201473534072434,"Melanerpes.portoricensis."
2,0.0289855072463768,0.0790835181079084,-0.460458240946046,0.68,0.992647058823529,0.985294117647059,0.740958573634948,0.0426213353042621,1.56,0.000786163522012579,0,0.0330882352941176,0.0068570080547959,2.62230292149728,0.636514168294813,1.88988157484231,0.0842897788341483,0.0779768177028451,0.349362280470577,"Molothrus.bonariensis."
